Date,Category,Description,Amount
2025-01-05,Food,Groceries,1200
2025-01-07,Transport,Cab ride,250
2025-01-10,Bills,Electricity bill,1800
2025-01-12,Shopping,Clothes,2400
2025-02-03,Food,Restaurant,900
2025-02-06,Transport,Bus pass,500
2025-02-10,Bills,Internet,1200
2025-02-15,Entertainment,Movie tickets,700
2025-03-02,Food,Supermarket,1300
2025-03-07,Transport,Fuel,1500
2025-03-12,Bills,Water bill,400
2025-03-20,Other,Stationery,300
2025-04-05,Food,Snacks,600
2025-04-10,Shopping,Accessories,1100
2025-04-18,Bills,Gas bill,950
2025-04-25,Entertainment,Concert tickets,2200
2025-05-04,Food,Groceries,1400
2025-05-09,Transport,Train ticket,900
2025-05-15,Bills,Electricity,2000
2025-05-22,Shopping,Shoes,2600
2025-06-03,Food,Restaurant,800
2025-06-06,Transport,Cab,400
2025-06-12,Bills,Internet,1300
2025-06-17,Entertainment,Games,900
2025-07-05,Food,Snacks,500
2025-07-10,Shopping,Clothes,1500
2025-07-18,Bills,Gas,1000
2025-07-22,Entertainment,Netflix,500
2025-08-02,Food,Groceries,1600
2025-08-08,Transport,Metro pass,700
2025-08-13,Bills,Electricity,1900
2025-08-19,Shopping,Watch,2500
2025-09-04,Food,Supermarket,1200
2025-09-08,Transport,Fuel,1300
2025-09-12,Bills,Water bill,500
2025-09-18,Entertainment,Movie,800
2025-10-03,Food,Restaurant,1000
2025-10-09,Shopping,Accessories,1700
2025-10-15,Bills,Internet,1200
2025-10-21,Other,Gift,600
2025-11-02,Food,Groceries,1500
2025-11-06,Transport,Bus,400
2025-11-10,Bills,Electricity,2100
2025-11-14,Shopping,Clothes,1800
